system   D            wsystem.c:583  maybe_parent_dir                 [   0.00033] Also searching C:\Users\Zach\Projects\nothingSpecial\
display  D   display_settings.c:486  _al_score_display_settings       [   0.01666] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01667] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01668] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01670] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01671] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01673] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01674] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01676] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01677] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01678] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01680] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01681] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01683] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01684] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01686] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01687] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01688] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01690] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01691] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01693] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01694] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01695] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01697] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01698] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01700] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01701] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01703] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01704] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01705] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01707] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01708] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01710] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01711] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01712] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01714] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01715] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01717] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01718] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01720] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01721] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01722] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01724] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01725] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01727] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01728] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01729] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01731] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01733] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01734] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01736] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01737] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01738] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01740] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01741] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01743] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01744] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01746] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01747] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01749] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01750] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01751] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01753] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01754] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01756] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01757] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01759] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01760] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01761] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01763] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01764] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01766] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01767] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01769] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01770] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01771] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01773] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01774] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01776] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01777] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01779] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01780] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01782] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01783] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01785] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01786] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01787] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01789] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01790] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01792] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01793] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01795] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01796] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01798] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01799] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01800] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01802] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01803] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01805] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01806] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01808] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01809] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01810] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01812] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01813] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01815] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01816] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01818] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01819] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01821] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01822] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01824] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01825] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01826] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01828] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01830] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01831] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01832] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01835] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01837] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01838] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01840] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01841] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01843] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01844] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01845] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01847] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01848] Score is : 641
